index_date;industrial_electricity_consumption_(gwh)
2008-05-01;15135.2371158542
2008-06-01;15183.6745742135
2008-07-01;15440.373069154
2008-08-01;15380.1801090223
2008-09-01;15314.4405590385
2008-10-01;15510.4437495258
2008-11-01;14927.0715437106
2008-12-01;13597.9502917331
2009-01-01;12826.0595812488
2009-02-01;13224.3420661655
2009-03-01;13397.3697042493
2009-04-01;13591.0724059538
2009-05-01;13416.8977196689
2009-06-01;13629.068456776
2009-07-01;13858.0815889041
2009-08-01;14063.3446880052
2009-09-01;14298.4850025238
2009-10-01;14504.990429462
2009-11-01;14613.2412527844
2009-12-01;14539.6898965196
2010-01-01;14155.3250675518
2010-02-01;14664.7548247895
2010-03-01;14805.1977006768
2010-04-01;14900.7406055902
2010-05-01;15079.1500678441
2010-06-01;15196.3799246351
2010-07-01;15175.7980540201
2010-08-01;15033.2130577473
2010-09-01;15075.509669073
2010-10-01;15100.7123003703
2010-11-01;15117.730743767
2010-12-01;15195.7748495064
2011-01-01;15248.6014744079
2011-02-01;15016.7662065126
2011-03-01;15235.3266977079
2011-04-01;15257.7381085463
2011-05-01;15282.42047243
2011-06-01;15423.040403347
2011-07-01;15340.2976637976
2011-08-01;15431.9080563873
2011-09-01;15422.3169578328
2011-10-01;15354.6834305744
2011-11-01;15264.1104221296
2011-12-01;15353.2188699554
2012-01-01;15380.5742135144
2012-02-01;15509.6334347907
2012-03-01;15611.9921254893
2012-04-01;15397.0543617644
2012-05-01;15261.1213077399
2012-06-01;15215.4805370345
2012-07-01;15171.5980372472
2012-08-01;15228.3648439324
2012-09-01;15304.0251368108
2012-10-01;15253.9156046101
2012-11-01;15224.2692264522
2012-12-01;14943.7882861296
2013-01-01;15133.6436477594
2013-02-01;15152.4616225409
2013-03-01;15151.6375154631
2013-04-01;15433.7122329176
2013-05-01;15541.2903153934
2013-06-01;15404.4553284311
2013-07-01;15477.9041630352
2013-08-01;15499.7909922604
2013-09-01;15358.6573177106
2013-10-01;15522.896459908
2013-11-01;15553.7673922685
2013-12-01;15455.4044251208
2014-01-01;15324.8707186024
2014-02-01;15299.3490613838
2014-03-01;15081.7174217924
2014-04-01;14964.9475195948
2014-05-01;14853.9079023088
2014-06-01;14637.0405607474
2014-07-01;14461.1234729418
2014-08-01;14705.7769569428
2014-09-01;14664.9648466757
2014-10-01;14641.9659597924
2014-11-01;14841.5285577083
2014-12-01;14798.3072080588
2015-01-01;14612.8105647809
2015-02-01;14703.6027999653
2015-03-01;14601.3267208568
2015-04-01;14412.0021374028
2015-05-01;14228.8174658421
2015-06-01;14190.0594672319
2015-07-01;13866.1302318749
2015-08-01;13894.2114635855
2015-09-01;13766.8811870544
2015-10-01;13856.3241553438
2015-11-01;13565.5155863549
2015-12-01;13477.7756696967
2016-01-01;13259.0542752989
2016-02-01;13655.6865839712
2016-03-01;13676.1357426354
2016-04-01;13667.0850284996
2016-05-01;13837.1269483848
2016-06-01;13816.4188417235
2016-07-01;13890.9969778721
2016-08-01;13772.517018107
2016-09-01;13781.2712962882
2016-10-01;13601.2446094868
2016-11-01;13532.6145727355
2016-12-01;13549.5779256139
2017-01-01;13660.6504076813
2017-02-01;13613.2960467024
2017-03-01;13869.6081119589
2017-04-01;13910.607968782
2017-05-01;13627.2282755343
2017-06-01;13960.4813504108
2017-07-01;14003.3250688624
2017-08-01;13893.6348437546
2017-09-01;13974.3135788289
2017-10-01;13935.7315400571
2017-11-01;14079.7698386489
2017-12-01;14253.8028927044
2018-01-01;14156.5017608307
2018-02-01;14153.7391609589
2018-03-01;13997.0356364921
2018-04-01;14477.7049152922
2018-05-01;14099.1022638575
2018-06-01;13567.3382310051
2018-07-01;14070.464940062
2018-08-01;14197.7041042082
2018-09-01;14269.6985403501
2018-10-01;14020.1429407771
2018-11-01;14278.4204676561
2018-12-01;14187.7916787521
2019-01-01;14068.1383285288
2019-02-01;13894.2164713315
2019-03-01;13840.2915181191
2019-04-01;13643.2568233974
