index_date;industrial_electricity_consumption_(GWh)
1976-01;2816.8
1976-02;2818.2
1976-03;2951.5
1976-04;2969
1976-05;3075.6
1976-06;3110.5
1976-07;3234.6
1976-08;3350.3
1976-09;3388.8
1976-10;3402.2
1976-11;3452.5
1976-12;3330.6
1977-01;3253.9
1977-02;3292.1
1977-03;3244.4
1977-04;3503.4
1977-05;3517.1
1977-06;3614
1977-07;3645.2
1977-08;3712.3
1977-09;3847.2
1977-10;3848.8
1977-11;3879.5
1977-12;3879.3
1978-01;3729.5
1978-02;3791
1978-03;3755.6
1978-04;3923.3
1978-05;3926.1
1978-06;4091
1978-07;4074.2
1978-08;4195.1
1978-09;4333
1978-10;4312.6
1978-11;4383.7
1978-12;4315.6
1979-01;4215
1979-02;4221
1979-03;4329
1979-04;4405
1979-05;4563
1979-06;4672
1979-07;4716
1979-08;4779
1979-09;4890
1979-10;4776
1979-11;4940
1979-12;4896
1980-01;4806
1980-02;4808
1980-03;4833
1980-04;4901
1980-05;5009
1980-06;5162
1980-07;5149
1980-08;5432
1980-09;5369
1980-10;5391
1980-11;5505
1980-12;5121
1981-01;5235
1981-02;5031
1981-03;5230
1981-04;5067
1981-05;5175
1981-06;5059
1981-07;5119
1981-08;5233
1981-09;4973
1981-10;4994
1981-11;5128
1981-12;4906
1982-01;4875
1982-02;4836
1982-03;5039
1982-04;5388
1982-05;5285
1982-06;5399
1982-07;5496
1982-08;5645
1982-09;5597
1982-10;5548
1982-11;5494
1982-12;5287
1983-01;5132
1983-02;4994
1983-03;5143
1983-04;5722
1983-05;5553
1983-06;5933
1983-07;5750
1983-08;5866
1983-09;6070
1983-10;6017
1983-11;5961
1983-12;5898
1984-01;5834
1984-02;6161
1984-03;6353
1984-04;6160
1984-05;6507
1984-06;6676
1984-07;6777
1984-08;7101
1984-09;7239
1984-10;7093
1984-11;7412
1984-12;7142
1985-01;7084
1985-02;7219
1985-03;7225
1985-04;7547
1985-05;7310
1985-06;7674
1985-07;7376
1985-08;7960
1985-09;7825
1985-10;7846
1985-11;7974
1985-12;7800
1986-01;7530
1986-02;7364
1986-03;7190
1986-04;7647
1986-05;8325
1986-06;8235
1986-07;8285
1986-08;8719
1986-09;8538
1986-10;8551
1986-11;8710
1986-12;8044
1987-01;8306
1987-02;7764
1987-03;7908
1987-04;7749
1987-05;8079
1987-06;7873
1987-07;8011
1987-08;8391
1987-09;8249
1987-10;8344
